provider,source_id,source_kind,display_zoom,source_zoom,x,y,tile_url,http_status,content_type,is_empty,wire_byte_length,stored_byte_length,wire_sha256,stored_sha256,was_gzip_compressed,width,height,coverage_pixel_count,total_pixel_count,coverage_ratio,record_count,pano_count,feature_count,layer_counts_json,last_modified,output_path,metadata_path,fetched_at
kartaview,kartaview_sequence_tiles,raster,13,13,4196,2708,https://api.openstreetcam.org/2.0/sequence/tiles/4196/2708/13.png,200,image/png,False,4483,4483,82bdf334477a92257bab23237f6980c625267c1921663eae013130314bc831b1,82bdf334477a92257bab23237f6980c625267c1921663eae013130314bc831b1,False,512,512,3837,262144,0.014636993408203125,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4196/2708.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4196/2708.png.metadata.json,2026-05-20T08:29:26+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4196,2709,https://api.openstreetcam.org/2.0/sequence/tiles/4196/2709/13.png,200,image/png,False,3127,3127,8e571f8508fbadee7efe8ee88506dca59e67b5e54628bd769ab7babd974b7f9b,8e571f8508fbadee7efe8ee88506dca59e67b5e54628bd769ab7babd974b7f9b,False,512,512,1702,262144,0.00649261474609375,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4196/2709.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4196/2709.png.metadata.json,2026-05-20T08:29:27+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4196,2710,https://api.openstreetcam.org/2.0/sequence/tiles/4196/2710/13.png,200,image/png,False,4053,4053,04cb93e8cffb3e515cceebb2e3b76a0c4844b8c0f3d57eab8a22410d541094b6,04cb93e8cffb3e515cceebb2e3b76a0c4844b8c0f3d57eab8a22410d541094b6,False,512,512,4882,262144,0.01862335205078125,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4196/2710.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4196/2710.png.metadata.json,2026-05-20T08:29:27+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4197,2708,https://api.openstreetcam.org/2.0/sequence/tiles/4197/2708/13.png,200,image/png,False,8011,8011,bea0fafe97f1be713d4d82762cdb6e2a35389e5fa1266ecd06b85ed1e758d326,bea0fafe97f1be713d4d82762cdb6e2a35389e5fa1266ecd06b85ed1e758d326,False,512,512,13078,262144,0.04988861083984375,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4197/2708.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4197/2708.png.metadata.json,2026-05-20T08:29:27+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4197,2709,https://api.openstreetcam.org/2.0/sequence/tiles/4197/2709/13.png,200,image/png,False,3352,3352,f8129e3f7f7e3944ab81ed99fc74751d5678cf589865bee058ff30dd5fadd8e1,f8129e3f7f7e3944ab81ed99fc74751d5678cf589865bee058ff30dd5fadd8e1,False,512,512,2250,262144,0.00858306884765625,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4197/2709.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4197/2709.png.metadata.json,2026-05-20T08:29:27+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4197,2710,https://api.openstreetcam.org/2.0/sequence/tiles/4197/2710/13.png,200,image/png,False,3209,3209,745637d56666b38474541c323ced4f948cd9a69a5316fa85447f16aa17359f78,745637d56666b38474541c323ced4f948cd9a69a5316fa85447f16aa17359f78,False,512,512,1706,262144,0.00650787353515625,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4197/2710.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4197/2710.png.metadata.json,2026-05-20T08:29:27+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4198,2708,https://api.openstreetcam.org/2.0/sequence/tiles/4198/2708/13.png,200,image/png,False,3826,3826,63295fa67eb4d0ea58fbf65ea11b06afbc749858a70f5db7affcda62dc50eedc,63295fa67eb4d0ea58fbf65ea11b06afbc749858a70f5db7affcda62dc50eedc,False,512,512,2572,262144,0.0098114013671875,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4198/2708.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4198/2708.png.metadata.json,2026-05-20T08:29:27+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4198,2709,https://api.openstreetcam.org/2.0/sequence/tiles/4198/2709/13.png,200,image/png,False,3504,3504,1b94634c13555e9b84764b989d95b82668af1507fd945bbd9537038bd3fa55fa,1b94634c13555e9b84764b989d95b82668af1507fd945bbd9537038bd3fa55fa,False,512,512,1842,262144,0.00702667236328125,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4198/2709.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4198/2709.png.metadata.json,2026-05-20T08:29:27+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4198,2710,https://api.openstreetcam.org/2.0/sequence/tiles/4198/2710/13.png,200,image/png,False,3834,3834,c9c1d951d9b1b1c55a7210ffe3d8c1049d1636b059fcc7a5dc78cdbb10460603,c9c1d951d9b1b1c55a7210ffe3d8c1049d1636b059fcc7a5dc78cdbb10460603,False,512,512,2835,262144,0.010814666748046875,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4198/2710.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4198/2710.png.metadata.json,2026-05-20T08:29:28+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4199,2708,https://api.openstreetcam.org/2.0/sequence/tiles/4199/2708/13.png,200,image/png,False,4141,4141,767e3f077bc02aa6d0687b98b36269724a38e16dfc44b645117fea3652f0dc51,767e3f077bc02aa6d0687b98b36269724a38e16dfc44b645117fea3652f0dc51,False,512,512,5193,262144,0.019809722900390625,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4199/2708.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4199/2708.png.metadata.json,2026-05-20T08:29:28+00:00
kartaview,kartaview_sequence_tiles,raster,13,13,4199,2709,https://api.openstreetcam.org/2.0/sequence/tiles/4199/2709/13.png,200,image/png,False,4576,4576,995c0518acf3bb8915d9db38df892920c1f433378d2fe96705d34adb38bee648,995c0518acf3bb8915d9db38df892920c1f433378d2fe96705d34adb38bee648,False,512,512,4750,262144,0.01811981201171875,,,,,,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4199/2709.png,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/kartaview_coverage_raster/amsterdam_compare_z13_kartaview_subbox_00/tiles/13/4199/2709.png.metadata.json,2026-05-20T08:29:28+00:00
