provider,source_id,display_zoom,source_zoom,tile_x,tile_y,tile_url,layer_name,feature_index,mvt_id,geometry_type,properties_json,geometry_wkt,fetched_at
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,0,0,MultiLineString,"{""captured_at"": 1493811485801, ""creator_id"": 101587278753997, ""foot"": false, ""id"": ""sIFPfysaLJl-600ntbVDQg"", ""image_id"": 467662771183233, ""is_pano"": false, ""quality_score"": 0.6207231481481483}","MULTILINESTRING ((4.42387462 51.94426488, 4.42522645 51.94302151, 4.42528009 51.94286278, 4.42507625 51.94275035, 4.42602038 51.94179134, 4.42478657 51.94129530, 4.42485094 51.94118947, 4.42471147 51.94111010, 4.42463636 51.94107703, 4.42449689 51.94115640, 4.42440033 51.94114317, 4.42337036 51.94071988, 4.42283392 51.94063389, 4.42220092 51.94066035, 4.42179322 51.94060082, 4.42156792 51.93998571, 4.42105293 51.93945657, 4.42019463 51.93892081, 4.41965818 51.93893404, 4.41949725 51.93898695, 4.41949725 51.93902664), (4.41949725 51.93902664, 4.41949725 51.93905971), (4.41949725 51.93905971, 4.41952944 51.93926476, 4.41993713 51.93942350, 4.41952944 51.93930444, 4.41948652 51.93919861, 4.41949725 51.93905971), (4.41949725 51.93905971, 4.41949725 51.93902664), (4.41949725 51.93902664, 4.41912174 51.93889435, 4.41855311 51.93838505, 4.41780210 51.93795511, 4.41782355 51.93783605, 4.41802740 51.93757808, 4.41956162 51.93624854, 4.42194343 51.93440960, 4.42594528 51.93102921, 4.42770481 51.92983179, 4.42896008 51.92890558, 4.43020463 51.92788673, 4.43165302 51.92694726, 4.43306923 51.92688110, 4.43336964 51.92679509, 4.43353057 51.92669585, 4.43368077 51.92645766, 4.43354130 51.92572988, 4.43362713 51.92549831, 4.43627715 51.92348028))",2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,1,1,MultiLineString,"{""captured_at"": 1664610299000, ""creator_id"": 158325836319628, ""foot"": false, ""id"": ""75psK2QhxeoJ9UjFvn1rIy"", ""image_id"": 477172144450759, ""is_pano"": false, ""quality_score"": 0.4349871794871795}","MULTILINESTRING ((4.42543030 51.91737273, 4.42555904 51.91717421), (4.42810178 51.91717421, 4.42834854 51.91743891, 4.42878842 51.91918590))",2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,2,2,MultiLineString,"{""captured_at"": 1525101680748, ""creator_id"": 107019824867583, ""foot"": false, ""id"": ""yMwwOFr8Im1tCATVsHe9sg"", ""image_id"": 173897997944559, ""is_pano"": false, ""quality_score"": 0.6321036036036036}","MULTILINESTRING ((4.43846583 51.93121444, 4.43723202 51.93081751, 4.43564415 51.93020888, 4.42712545 51.92667600, 4.41901445 51.92342735, 4.41808105 51.92311637, 4.41673994 51.92284509, 4.41533446 51.92269290, 4.41405773 51.92267967, 4.41295266 51.92275907, 4.41175103 51.92300389, 4.41093564 51.92322224, 4.40954089 51.92373172, 4.40587163 51.92541891, 4.40427303 51.92602761), (4.40427303 51.92602761, 4.40317869 51.92637827, 4.40298557 51.92653044, 4.40293193 51.92680170, 4.40306067 51.92701342, 4.40330744 51.92713251, 4.40379024 51.92724498, 4.40400481 51.92717882, 4.40423012 51.92660984, 4.40427303 51.92602761), (4.40427303 51.92602761, 4.40423012 51.92545199, 4.40409064 51.92488299, 4.40366149 51.92369863, 4.40328598 51.92291787, 4.40338254 51.92273922))",2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,3,3,MultiLineString,"{""captured_at"": 1441561868646, ""creator_id"": 110475481178603, ""foot"": false, ""id"": ""ED4wzd_xcabbzw0maAmEiw"", ""image_id"": 777383739629769, ""is_pano"": false, ""quality_score"": 0.3775555555555556}","MULTILINESTRING ((4.43387389 51.94235352, 4.43408847 51.94231384), (4.43408847 51.94231384, 4.43408847 51.94230722, 4.43408847 51.94231384), (4.43408847 51.94231384, 4.43410993 51.94232045))",2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,4,4,MultiLineString,"{""captured_at"": 1492605834672, ""creator_id"": 101587278753997, ""foot"": false, ""id"": ""1gwtY0ekZOArR3iK3Ihlng"", ""image_id"": 464827274749145, ""is_pano"": false, ""quality_score"": 0.6317734056987788}","MULTILINESTRING ((4.39453125 51.92702665, 4.39662337 51.92705973, 4.39821124 51.92698034, 4.40021753 51.92676862, 4.40138698 51.92656352, 4.40355420 51.92598791, 4.40490603 51.92552477, 4.40748096 51.92442645, 4.41002369 51.92324870, 4.41107512 51.92291787, 4.41220164 51.92267967, 4.41337109 51.92252087, 4.41529155 51.92251425, 4.41708326 51.92273260, 4.41923976 51.92332149, 4.42113876 51.92404269, 4.43640590 51.93029488, 4.43770409 51.93072489, 4.43821907 51.93084397, 4.43846583 51.93085059), (4.43846583 51.93211414, 4.43817616 51.93224645, 4.43784356 51.93247798, 4.43708181 51.93322550, 4.43478584 51.93500495, 4.43340182 51.93597072, 4.43230748 51.93683063, 4.42986131 51.93891420, 4.42909956 51.93943011, 4.42595601 51.94230061, 4.42518353 51.94277681, 4.42470074 51.94323315, 4.42394972 51.94374902, 4.42348838 51.94426488))",2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,5,5,MultiLineString,"{""captured_at"": 1440510484021, ""creator_id"": 110475481178603, ""foot"": false, ""id"": ""HM0X3H9BytcTwBTel5N1nw"", ""image_id"": 778327722821147, ""is_pano"": false, ""quality_score"": 0.4451428571428572}","MULTILINESTRING ((4.43684578 51.94219479, 4.43687797 51.94218818), (4.43687797 51.94218818, 4.43688869 51.94218156, 4.43687797 51.94218818))",2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,6,6,MultiLineString,"{""captured_at"": 1521047465120, ""creator_id"": 107019824867583, ""foot"": false, ""id"": ""3wRwVGy3ssKQsWESLCpMcg"", ""image_id"": 528709921832347, ""is_pano"": false, ""quality_score"": 0.5606250000000002}","MULTILINESTRING ((4.41974401 51.92364570, 4.41824198 51.92310975, 4.41719055 51.92287155, 4.41611767 51.92271275, 4.41432595 51.92263335, 4.41355348 51.92265982, 4.41259861 51.92277230, 4.41091418 51.92312299, 4.40999150 51.92344720, 4.40581799 51.92539906, 4.40427303 51.92598791), (4.40427303 51.92598791, 4.40332890 51.92629887, 4.40306067 51.92643120, 4.40288901 51.92673554, 4.40291047 51.92683478, 4.40313578 51.92706635, 4.40374732 51.92721190, 4.40400481 51.92717882, 4.40425158 51.92654367, 4.40427303 51.92598791), (4.40427303 51.92598791, 4.40426230 51.92572326, 4.40398335 51.92480359, 4.40321088 51.92303035, 4.40329671 51.92281200, 4.40389752 51.92262673, 4.40895081 51.92141585, 4.40994859 51.92113794, 4.41001296 51.92105192, 4.40997005 51.92092620, 4.40913320 51.92031743, 4.40910101 51.92026449, 4.40920830 51.92009245, 4.40886497 51.91984762))",2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,7,7,MultiLineString,"{""captured_at"": 1527504740532, ""creator_id"": 101587278753997, ""foot"": false, ""id"": ""kachen9m1plqoa767o4gsy"", ""image_id"": 926033101565978, ""is_pano"": false, ""quality_score"": 0.6360419580419583}","MULTILINESTRING ((4.39453125 51.92464479, 4.39768553 51.92455878, 4.39903736 51.92447938, 4.39919829 51.92454555, 4.39943433 51.92481020, 4.39953089 51.92483005, 4.40096855 51.92475066, 4.40102220 51.92473081, 4.40111876 51.92441983, 4.40166593 51.92441983, 4.40225601 51.92434705, 4.40292120 51.92402946, 4.40326452 51.92394345, 4.40308213 51.92391698, 4.40300703 51.92387066, 4.40289974 51.92342735, 4.40293193 51.92326855, 4.40301776 51.92318254, 4.40350056 51.92306344, 4.40357566 51.92307005, 4.40361857 51.92313622, 4.40399408 51.92416841, 4.40420866 51.92434705), (4.40420866 51.92434705, 4.40424085 51.92438014, 4.40443397 51.92465803, 4.40421939 51.92440660, 4.40420866 51.92434705), (4.40420866 51.92434705, 4.40434813 51.92419487, 4.40708399 51.92281862, 4.40742731 51.92270613, 4.40866113 51.92242823, 4.40915465 51.92234221, 4.40940142 51.92238191, 4.40922976 51.92251425, 4.40899372 51.92244808, 4.40871477 51.92246131, 4.40733075 51.92279877, 4.40701962 51.92291787, 4.40685868 51.92305020, 4.40684795 51.92312960, 4.40741658 51.92381773, 4.40762043 51.92422796, 4.40784574 51.92443307, 4.40794230 51.92448600, 4.40826416 51.92450585, 4.40860748 51.92434044, 4.40971255 51.92398314, 4.41020608 51.92408901, 4.41231966 51.92471096, 4.41345692 51.92507486, 4.41355348 51.92514102, 4.41341400 51.92543876, 4.41262007 51.92648413, 4.41245914 51.92662307, 4.41225529 51.92703327, 4.41036701 51.92947454, 4.41033483 51.92964655, 4.41174030 51.93006334, 4.41301703 51.93027504, 4.41573143 51.93140629, 4.41611767 51.93162460, 4.41641808 51.93166429, 4.41725492 51.93199506))",2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,8,8,MultiLineString,"{""captured_at"": 1753870456580, ""creator_id"": 106617448243381, ""foot"": false, ""id"": ""TOB6V9Xrqth7bj58HNgSoU"", ""image_id"": 608111615686727, ""is_pano"": false, ""quality_score"": 0.762955}","MULTILINESTRING ((4.40595746 51.93886790, 4.40501332 51.93866947, 4.40472364 51.93872899, 4.39884424 51.94251225, 4.39864039 51.94269744, 4.39781427 51.94426488), (4.39669847 51.94426488, 4.39680576 51.94398711))",2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,sequence,9,9,MultiLineString,"{""captured_at"": 1497707158000, ""creator_id"": 104435308459964, ""foot"": false, ""id"": ""y3fp-P-IlCiQgOumPBtlLg"", ""image_id"": 154379966633368, ""is_pano"": false, ""quality_score"": 0.7513737226277373}","MULTILINESTRING ((4.40110803 51.94426488, 4.39803958 51.94362336), (4.39803958 51.94362336, 4.39743876 51.94350431, 4.39724565 51.94350431, 4.39695597 51.94379531, 4.39671993 51.94426488), (4.39767480 51.94426488, 4.39803958 51.94362336), (4.39803958 51.94362336, 4.39872622 51.94248580, 4.40223455 51.94022382, 4.40117240 51.94001216, 4.39968109 51.93907955, 4.39808249 51.93864301, 4.39788938 51.93855702, 4.39754605 51.93810062, 4.39718127 51.93782282, 4.39690232 51.93781620, 4.39453125 51.93800802))",2026-05-20T08:29:37+00:00
