provider,source_id,source_kind,display_zoom,source_zoom,x,y,tile_url,http_status,content_type,is_empty,wire_byte_length,stored_byte_length,wire_sha256,stored_sha256,was_gzip_compressed,width,height,coverage_pixel_count,total_pixel_count,coverage_ratio,record_count,pano_count,feature_count,layer_counts_json,last_modified,output_path,metadata_path,fetched_at
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4196,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,86242,86242,3670b92eebf1aeafe4dba6774a0197b918bdabf96cc57a3a4075fe73f0024556,3670b92eebf1aeafe4dba6774a0197b918bdabf96cc57a3a4075fe73f0024556,False,,,,,,715,,715,"{""sequence"": 715}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4196/2708.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4196/2708.mvt.metadata.json,2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4196,2709,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2709?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,16255,16255,c916361daa365bf9f3e8ef8bb546da5941f01fe6a48ce68f17f2c5718292f580,c916361daa365bf9f3e8ef8bb546da5941f01fe6a48ce68f17f2c5718292f580,False,,,,,,133,,133,"{""sequence"": 133}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4196/2709.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4196/2709.mvt.metadata.json,2026-05-20T08:29:37+00:00
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4196,2710,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4196/2710?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,19523,19523,08f079601720121f006ab9b4bf541d28bdfad11ef26f681c3508cf4d3ce7a5f1,08f079601720121f006ab9b4bf541d28bdfad11ef26f681c3508cf4d3ce7a5f1,False,,,,,,158,,158,"{""sequence"": 158}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4196/2710.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4196/2710.mvt.metadata.json,2026-05-20T08:29:38+00:00
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4197,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4197/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,130860,130860,02bbf3dcc32de6f2129395c8d40c817928d7c34cdc338af6af82eef7d66ea254,02bbf3dcc32de6f2129395c8d40c817928d7c34cdc338af6af82eef7d66ea254,False,,,,,,1084,,1084,"{""sequence"": 1084}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4197/2708.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4197/2708.mvt.metadata.json,2026-05-20T08:29:38+00:00
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4197,2709,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4197/2709?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,56694,56694,eed6c2225f1808cca026f54edaf5d2bf68112e9fb884e6815e4e07b60be5e2af,eed6c2225f1808cca026f54edaf5d2bf68112e9fb884e6815e4e07b60be5e2af,False,,,,,,492,,492,"{""sequence"": 492}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4197/2709.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4197/2709.mvt.metadata.json,2026-05-20T08:29:39+00:00
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4197,2710,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4197/2710?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,18152,18152,828fb43529bc98c45d564ff84cadac5524186616e56c1662b9f42f2eaf8c06fa,828fb43529bc98c45d564ff84cadac5524186616e56c1662b9f42f2eaf8c06fa,False,,,,,,157,,157,"{""sequence"": 157}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4197/2710.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4197/2710.mvt.metadata.json,2026-05-20T08:29:39+00:00
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4198,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4198/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,75168,75168,0233bdd727b07672e5e4a89741c5b6a80915016e844088349aa001d160a7cbbb,0233bdd727b07672e5e4a89741c5b6a80915016e844088349aa001d160a7cbbb,False,,,,,,643,,643,"{""sequence"": 643}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4198/2708.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4198/2708.mvt.metadata.json,2026-05-20T08:29:40+00:00
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4198,2709,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4198/2709?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,45661,45661,2b25f1170a30dc2e21c6ebc30ee394bd107e625ca511a745a2a1873531d589b8,2b25f1170a30dc2e21c6ebc30ee394bd107e625ca511a745a2a1873531d589b8,False,,,,,,359,,359,"{""sequence"": 359}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4198/2709.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4198/2709.mvt.metadata.json,2026-05-20T08:29:40+00:00
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4198,2710,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4198/2710?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,29850,29850,97166946caf7718459b4c598eb7bd75e480124cb5e624ad9db2f3f091b7c030d,97166946caf7718459b4c598eb7bd75e480124cb5e624ad9db2f3f091b7c030d,False,,,,,,251,,251,"{""sequence"": 251}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4198/2710.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4198/2710.mvt.metadata.json,2026-05-20T08:29:41+00:00
mapillary,mapillary_mly1_public_vtp,vector_mvt,13,13,4199,2708,https://tiles.mapillary.com/maps/vtp/mly1_public/2/13/4199/2708?access_token=MLY%7C8443722902364390%7C832fa01211e391f5fd88c8a6186d2ff8,200,application/x-protobuf,,79112,79112,46a2a5f903544a6c45f06dac5b1613fcef6307716ee3e09d72caa60ac7d957b9,46a2a5f903544a6c45f06dac5b1613fcef6307716ee3e09d72caa60ac7d957b9,False,,,,,,639,,639,"{""sequence"": 639}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4199/2708.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/mapillary_mvt_coverage/amsterdam_compare_z13_mapillary_subbox_00/vector_mvt/13/4199/2708.mvt.metadata.json,2026-05-20T08:29:41+00:00
