provider,source_id,source_kind,display_zoom,source_zoom,x,y,tile_url,http_status,content_type,is_empty,wire_byte_length,stored_byte_length,wire_sha256,stored_sha256,was_gzip_compressed,width,height,coverage_pixel_count,total_pixel_count,coverage_ratio,record_count,pano_count,feature_count,layer_counts_json,last_modified,output_path,metadata_path,fetched_at
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4196,2708,https://api.panoramax.xyz/api/map/13/4196/2708.mvt,200,application/vnd.mapbox-vector-tile,,220,220,d8f21cfaf106a33376f8527fb561902625235cc65e6d9e1655cda0a6f84ff264,d8f21cfaf106a33376f8527fb561902625235cc65e6d9e1655cda0a6f84ff264,False,,,,,,1,,1,"{""sequences"": 1}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4196/2708.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4196/2708.mvt.metadata.json,2026-05-20T08:29:29+00:00
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4196,2709,https://api.panoramax.xyz/api/map/13/4196/2709.mvt,204,application/vnd.mapbox-vector-tile,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,,,,,,0,,0,{},,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4196/2709.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4196/2709.mvt.metadata.json,2026-05-20T08:29:29+00:00
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4196,2710,https://api.panoramax.xyz/api/map/13/4196/2710.mvt,204,application/vnd.mapbox-vector-tile,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,,,,,,0,,0,{},,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4196/2710.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4196/2710.mvt.metadata.json,2026-05-20T08:29:30+00:00
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4197,2708,https://api.panoramax.xyz/api/map/13/4197/2708.mvt,200,application/vnd.mapbox-vector-tile,,525,525,c6b1a50570a5426e282c3d4b1c2e1fca82f3c8117a241d6c50e513130ef20041,c6b1a50570a5426e282c3d4b1c2e1fca82f3c8117a241d6c50e513130ef20041,False,,,,,,3,,3,"{""sequences"": 3}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4197/2708.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4197/2708.mvt.metadata.json,2026-05-20T08:29:30+00:00
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4197,2709,https://api.panoramax.xyz/api/map/13/4197/2709.mvt,200,application/vnd.mapbox-vector-tile,,214,214,fbb185facf4cbf80dfae603509e356bccae11acbd72bd330bed6320999af370d,fbb185facf4cbf80dfae603509e356bccae11acbd72bd330bed6320999af370d,False,,,,,,1,,1,"{""sequences"": 1}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4197/2709.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4197/2709.mvt.metadata.json,2026-05-20T08:29:31+00:00
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4197,2710,https://api.panoramax.xyz/api/map/13/4197/2710.mvt,204,application/vnd.mapbox-vector-tile,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,,,,,,0,,0,{},,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4197/2710.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4197/2710.mvt.metadata.json,2026-05-20T08:29:31+00:00
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4198,2708,https://api.panoramax.xyz/api/map/13/4198/2708.mvt,200,application/vnd.mapbox-vector-tile,,3592,3592,ab98c18a1c3ad8bff15da12772b1098f188a172fd0f5a7d68c3e0738a753c33d,ab98c18a1c3ad8bff15da12772b1098f188a172fd0f5a7d68c3e0738a753c33d,False,,,,,,44,,44,"{""sequences"": 44}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4198/2708.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4198/2708.mvt.metadata.json,2026-05-20T08:29:32+00:00
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4198,2709,https://api.panoramax.xyz/api/map/13/4198/2709.mvt,204,application/vnd.mapbox-vector-tile,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,,,,,,0,,0,{},,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4198/2709.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4198/2709.mvt.metadata.json,2026-05-20T08:29:32+00:00
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4198,2710,https://api.panoramax.xyz/api/map/13/4198/2710.mvt,204,application/vnd.mapbox-vector-tile,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,,,,,,0,,0,{},,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4198/2710.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4198/2710.mvt.metadata.json,2026-05-20T08:29:33+00:00
panoramax,panoramax_xyz_mvt,vector_mvt,13,13,4199,2708,https://api.panoramax.xyz/api/map/13/4199/2708.mvt,200,application/vnd.mapbox-vector-tile,,2532,2532,7a1dee3b24b992300dbc0e1ca2ca708a832441a79f4f8cf09d2fdaa26dd96347,7a1dee3b24b992300dbc0e1ca2ca708a832441a79f4f8cf09d2fdaa26dd96347,False,,,,,,32,,32,"{""sequences"": 32}",,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4199/2708.mvt,/data/zicheng/2026_global_street_view_coverage/cross_source_svi_coverage/data/raw/panoramax_mvt_coverage/amsterdam_compare_z13_panoramax_subbox_00/vector_mvt/13/4199/2708.mvt.metadata.json,2026-05-20T08:29:33+00:00
